_,Country,Tot\.Area__Km_._,Tot\.Area__Km_.realName,Tot\.Area__mi_._,Tot\.Area__mi_.realName,LandArea__Km_._,LandArea__Km_.realName,LandArea__mi_._,LandArea__mi_.realName,_ofworld_landmass
"
  ,74
  
  
  
  
  
  
",Ecuador,"276,841",Tot.Area__Km²_,"106,889",Tot.Area__mi²_,"248,360",LandArea__Km²_,"95,892",LandArea__mi²_,0.20%
"
  ,75
  
  
  
  
  
  
",Burkina Faso,"272,967",Tot.Area__Km²_,"105,393",Tot.Area__mi²_,"273,600",LandArea__Km²_,"105,638",LandArea__mi²_,0.20%
"
  ,76
  
  
  
  
  
  
",New Zealand,"270,467",Tot.Area__Km²_,"104,428",Tot.Area__mi²_,"263,310",LandArea__Km²_,"101,665",LandArea__mi²_,0.20%
"
  ,77
  
  
  
  
  
  
",Gabon,"267,668",Tot.Area__Km²_,"103,347",Tot.Area__mi²_,"257,670",LandArea__Km²_,"99,487",LandArea__mi²_,0.20%
"
  ,78
  
  
  
  
  
  
",Western Sahara,"266,000",Tot.Area__Km²_,"102,703",Tot.Area__mi²_,"266,000",LandArea__Km²_,"102,703",LandArea__mi²_,0.20%
"
  ,79
  
  
  
  
  
  
",Guinea,"245,857",Tot.Area__Km²_,"94,926",Tot.Area__mi²_,"245,720",LandArea__Km²_,"94,873",LandArea__mi²_,0.20%
"
  ,80
  
  
  
  
  
  
",United Kingdom,"242,900",Tot.Area__Km²_,"93,784",Tot.Area__mi²_,"241,930",LandArea__Km²_,"93,410",LandArea__mi²_,0.20%
"
  ,81
  
  
  
  
  
  
",Uganda,"241,550",Tot.Area__Km²_,"93,263",Tot.Area__mi²_,"199,810",LandArea__Km²_,"77,147",LandArea__mi²_,0.10%
"
  ,82
  
  
  
  
  
  
",Ghana,"238,533",Tot.Area__Km²_,"92,098",Tot.Area__mi²_,"227,540",LandArea__Km²_,"87,854",LandArea__mi²_,0.20%
"
  ,83
  
  
  
  
  
  
",Romania,"238,391",Tot.Area__Km²_,"92,043",Tot.Area__mi²_,"230,170",LandArea__Km²_,"88,869",LandArea__mi²_,0.20%
